Area,Status,Floor,Transaction,Furnishing,Car Parking,Bathroom,Balcony,price,BHK_type,Address,Type,luxury_type
381.0,Ready to Move,low level,Resale,Unfurnished,1 Covered,2.0,1.0,1.48,1,Mumbai,Apartment,semi luxury
431.0,Ready to Move,medium level,New Property,Unfurnished,1 Covered,1.0,2.0,1.21,1,Andheri East Mumbai,Apartment,semi luxury
365.0,Under Construction,high level,New Property,Unfurnished,1 Open,2.0,2.0,0.97,1,Kandivali East Mumbai,Apartment,semi luxury
378.0,Under Construction,medium level,New Property,Unfurnished,Unknown,1.0,1.0,0.9,1,Mumbai,Apartment,semi luxury
429.0,Under Construction,medium level,Resale,Unfurnished,Unknown,2.0,2.0,1.21,1,Kandivali East Mumbai,Apartment,semi luxury
441.0,Under Construction,low level,New Property,Unfurnished,1 Open,2.0,2.0,1.03,1,Dahisar East Mumbai,Apartment,semi luxury
476.0,Under Construction,low level,Resale,Unfurnished,1 Covered,2.0,1.0,1.25,1,Malad West Mumbai,Apartment,non luxury
390.0,Under Construction,low level,New Property,Unfurnished,1 Open,2.0,1.0,0.85,1,Bhandup West Mumbai,House,semi luxury
427.0,Under Construction,low level,New Property,Unfurnished,Unknown,2.0,2.0,1.25,1,Vikhroli West Mumbai,Apartment,semi luxury
437.0,Under Construction,medium level,New Property,Unfurnished,1 Covered,2.0,1.0,0.51,1,Mumbai,Apartment,luxury
323.0,Under Construction,medium level,New Property,Unfurnished,Unknown,2.0,2.0,0.68,1,Kandivali East Mumbai,Apartment,semi luxury
500.0,Under Construction,medium level,Resale,Unfurnished,Unknown,2.0,2.0,1.2,1,Kandivali East Mumbai,Apartment,semi luxury
518.0,Under Construction,medium level,New Property,Semi-Furnished,1 Open,2.0,3.0,0.65,1,Mira Road Mumbai,Apartment,semi luxury
440.0,Under Construction,medium level,New Property,Unfurnished,1 Covered,2.0,1.0,0.99,1,Chembur Mumbai,Apartment,non luxury
419.0,Under Construction,medium level,New Property,Unfurnished,1 Covered,2.0,2.0,1.05,1,Charkop Mumbai,Apartment,non luxury
453.0,Ready to Move,low level,New Property,Unfurnished,1 Open,2.0,2.0,0.91,1,Ghatkopar East Mumbai,Apartment,semi luxury
467.0,Under Construction,high level,New Property,Semi-Furnished,1 Covered,2.0,1.0,1.49,1,Andheri West Mumbai,Apartment,semi luxury
285.0,Under Construction,medium level,New Property,Semi-Furnished,1 Open,1.0,1.0,0.3,1,Virar West Mumbai,Apartment,semi luxury
432.0,Under Construction,low level,New Property,Semi-Furnished,1 Open,2.0,1.0,1.01,1,Ghatkopar West Mumbai,Apartment,semi luxury
418.0,Under Construction,medium level,New Property,Semi-Furnished,1 Covered,2.0,1.0,0.92,1,Kandivali West Mumbai,Apartment,semi luxury
422.0,Under Construction,low level,New Property,Unfurnished,Unknown,1.0,2.0,1.2,1,Kurla East Mumbai,Apartment,semi luxury
345.0,Under Construction,high level,New Property,Unfurnished,Unknown,2.0,1.0,0.75,1,Kandivali West Mumbai,Apartment,luxury
457.0,Under Construction,medium level,Resale,Unfurnished,1 Covered,1.0,1.0,1.11,1,Mumbai,Apartment,semi luxury
