Area,Status,Floor,Transaction,Furnishing,Society,Car Parking,Bathroom,Balcony,price,BHK_type,Address,Type,Main Road,Pool,Garden/Park,pricepersqft
435.0,Ready to Move,9.0,Resale,Furnished,Vasant Oasis,1 Covered,2.0,2.0,1.55,1,Andheri East Mumbai,Apartment,0,0,1,3563.22
421.0,Ready to Move,3.0,New Property,Unfurnished,Vile Parle East Mumbai,1 Covered,1.0,1.0,1.85,1,Vile Parle East Mumbai,Apartment,1,0,0,4394.3
431.0,Ready to Move,6.0,Resale,Unfurnished,Arkade Crown,1 Covered,2.0,1.0,1.7,1,Borivali West Mumbai,Apartment,1,0,1,3944.32
482.0,Under Construction,0.0,New Property,Unfurnished,Puneet Amarjyoti,Unknown,2.0,1.0,0.84,1,Vikhroli Mumbai,Apartment,0,0,0,1742.74
510.0,Ready to Move,0.0,Resale,Semi-Furnished,Parshwanath Gardens,1 Open,2.0,1.0,2.1,1,Matunga East Mumbai,Apartment,1,0,1,4117.65
485.0,Ready to Move,15.0,Resale,Unfurnished,AJMERA BOULEVARD,1 Covered,2.0,1.0,1.3,1,Malad West Mumbai,Apartment,1,1,1,2680.41
457.0,Ready to Move,30.0,New Property,Unfurnished,Runwal Pinnacle,1 Covered,2.0,1.0,1.08,1,Unknown,Apartment,1,1,1,2363.24
382.0,Ready to Move,5.0,Resale,Semi-Furnished,Hiranandani Zen Maple,1 Covered,1.0,2.0,1.55,1,Powai Mumbai,Apartment,0,0,1,4057.59
550.0,Ready to Move,3.0,Resale,Semi-Furnished,Vile Parle East Mumbai,1 Covered,1.0,1.0,2.2,1,Vile Parle East Mumbai,Apartment,1,0,0,4000.0
380.0,Ready to Move,4.0,Resale,Unfurnished,Evershine Millenium Paradise,Unknown,2.0,1.0,1.0,1,Unknown,Apartment,1,1,1,2631.58
411.0,Under Construction,9.0,New Property,Unfurnished,Kanakia Beverly Heights,1 Covered,2.0,3.0,0.65,1,Bhayandar East Mumbai,Apartment,1,1,1,1581.51
